,Création,Identifier,adress,raisonSociale,madalite,matriculeFiscale,ID,email,ID facture
48,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
49,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
50,2020-05-19T21:28:45.599Z,1400029780000,Rue de la Teinturerie Z.I.Sidi Rezig Megrine,Propha Sud,,522478P/P/M/000,190300,,164276473000
51,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
52,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
53,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
54,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
55,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
56,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
57,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
58,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
59,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
60,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
61,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
62,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
63,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
64,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
65,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
66,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
67,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
68,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
69,2020-10-16T11:55:57.800Z,1789596924000,"Avenue El Farabi, Dar Chaabane El Fehri, Nabeul",Galien,,1282400 L/A/M 000,190250,,164276473000
70,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
71,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
72,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
73,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
74,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
75,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
76,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
77,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
78,2020-05-19T21:28:45.082Z,-2006931619000,Rue Ahmed Tlili Ksar Gafsa,MedEX,,1030362 Z/P/M 000,188350,,164276473000
79,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
80,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
81,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
82,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
83,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
84,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
85,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
86,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
87,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
88,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
89,2020-11-16T16:03:14.669Z,1066369071000,"Route Menzel Chaker,Sfax 3002",AvenirPharma,,1232662/F/P/M 000,189650,,164276473000
90,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
91,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
92,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
93,2020-05-19T21:28:37.834Z,1355750808000,,Best-Para_DELETED_2020-05-19T21:28:37.834Z,,MF6_DELETED_2020-05-19T21:28:37.834Z,190500,,164276473000
94,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
95,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
96,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
97,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
98,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
99,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
100,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
101,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
102,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
103,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
104,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
105,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
106,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
107,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
108,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
109,2020-10-16T14:03:12.048Z,-1152597577000,"Rue Mohamed Eddorra 8062 Nabeul, Tunisie",Cabdephar para,,1495767 Y/A/M 000,188900,,164276473000
110,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
111,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
112,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
113,2020-05-19T21:28:44.585Z,-1654168826000,Avenue Bourguiba Ksour sef,PHARMA SEF,,1398441/G/P/M 000,188400,,164276473000
114,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
115,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
116,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
117,2020-11-16T16:52:36.789Z,-1458660148000,Route Le AÃ¯n Km 2.5,Best Para,,1137707R/A/M 000,188600,,164276473000
118,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
119,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
120,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
121,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
122,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
123,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
124,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
125,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
126,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
127,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
128,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
129,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
130,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
131,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
132,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
133,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
134,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
135,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
136,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
137,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
138,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
139,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
140,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
141,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
142,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
143,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
144,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
145,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
146,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
147,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
148,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
149,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
150,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
151,2020-05-19T21:28:38.866Z,-193215022000,BLV de l'environnement 5070 Ksar Helal,Sghaier pharma,,1199534 E/P/M 000,189100,,164276473000
152,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
153,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
154,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
155,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
156,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
157,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
158,2020-05-19T21:28:36.502Z,-1435038581000,Rue de l'environnement 3005 Kairouan,Medika Kairouan,,022440/R/P/M000,189900,,164276473000
159,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
160,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
161,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
162,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
163,2020-05-19T21:28:42.382Z,-706632233000,Sousse,COPHA CENTRE,,0044892 M/P/000,189450,,164276473000
164,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
165,2020-05-19T21:28:39.442Z,-974929565000,Rue de baghdad Msaken,CM3P,,1358957M/M/P 000,189700,,164276473000
166,2020-05-19T21:28:45.082Z,-2006931619000,Rue Ahmed Tlili Ksar Gafsa,MedEX,,1030362 Z/P/M 000,188350,,164276473000
167,2020-11-16T16:03:14.669Z,1066369071000,"Route Menzel Chaker,Sfax 3002",AvenirPharma,,1232662/F/P/M 000,189650,,164276473000
168,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
169,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
170,2020-05-19T21:28:35.923Z,-1472106120000,"Zone Industrielle route de Tunis, 3180 Kairouan",Distrimed,,989014/Y/P/M000,189150,,164276473000
171,2020-10-01T15:01:22.422Z,38058271000,AV.Farhat Hached GABES,Kipropha,,649492 K P M 000,189750,,164276473000
172,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
173,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
174,2020-05-19T21:28:37.291Z,1999346856000,Zone Industrielle Messadine ,SGRD,,0764441 T/A/M000,189300,,164276473000
175,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
176,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
177,2020-05-19T21:28:41.616Z,470735211000,"Avenue Khalifa Karoui, 4005 sousse",Avicenne,,816959 J/A/M 000,190200,,164276473000
178,2020-11-16T16:03:14.669Z,1066369071000,"Route Menzel Chaker,Sfax 3002",AvenirPharma,,1232662/F/P/M 000,189650,,164276473000
179,2020-05-19T21:28:40Z,640183404000,"Route Gremda Km 4, Sfax3062",OMNIPARA,,1297689/X/A/M000,188700,,164276473000
180,2020-05-19T21:28:42.937Z,2046904892000,Safia Farhat Sahloul 4054,SM PHARMA,,1617566 T/P/M 000,188750,,164276473000
181,2020-05-19T21:28:35.365Z,136522309000,"Avenue Majida Boulila, SFAX JADIDA 3027",SOPROPHA SFAX,,004018D/P/M 000,189950,,164276473000
182,2020-05-19T21:28:46.099Z,1412711657000,Route Menzel Chaker km 1.5 3042 Sfax,PROD PHARMA,,1384284 R/M 0000,188100,,164276473000
183,2020-10-16T11:16:32.559Z,-1136420608000,Rue De Theatre CitÃ© A Lido 8075 Dar Chaabane Fehri-Nabeul,COPHADIS,,1487744 T/P/M 000,190450,,164276473000
184,2020-05-19T21:28:34.271Z,-919890435000,Avenue Ali Balhouene Mahdia,Copharma,,0584128 F/P/M000,190350,,164276473000
185,2020-05-19T21:28:41.110Z,-1559275575000,Route de Khenis Zone Industrielle,Ruspina Pharma,,1335358 V/P/M 000,189000,,164276473000
186,2020-05-19T21:28:43.559Z,-956424005000,"Avenue Fes citÃ© des jeunes, 3100 Kairouan",medicament Okba,,22493/F/P/M 000,189400,,164276473000
187,2020-05-19T21:28:38.349Z,-1270355449000,Zone Industrielle Monastir 5000,Tunisie Medicaments,,1314202 J/P/M 000,188450,,164276473000
