"Date","Price (High)","Price (Open)","Price (Low)","Volatility"
"2021-07-23","184.47366692354888","180.79741744788478","173.30111802277054","1.6454054118609918"
"2021-07-22","186.981968577963","184.59375523498096","175.21921839863094","1.6454435806910823"
"2021-07-21","194.60112583830536","174.61379695333326","169.51779989100612","1.975629244342843"
"2021-07-20","193.22548424071195","181.71369877559619","160.09971959843784","1.9837583669737988"
"2021-07-19","207.3124638643126","206.92164286276798","159.4853673592726","1.9827667189423326"
"2021-07-18","215.6585868126238","210.4822958640376","203.9821209339103","1.9527872485644695"
"2021-07-17","213.1955534174572","208.78982819563169","205.0996618942014","1.953619796869538"
"2021-07-16","224.82161794485225","218.23068121809635","206.19758860328943","1.9517653229298755"
"2021-07-15","235.17789465023","232.06356227158957","210.2147382223475","1.9495645556504022"
"2021-07-14","243.42267136326996","230.32469725758526","209.74960636994587","1.9528425621602934"
"2021-07-13","242.93057486380442","238.86180307775834","227.98654981746077","1.9520087833442905"
"2021-07-12","262.96936000366554","259.4797412556738","232.6570021039875","1.9534940189741001"
"2021-07-11","265.6369409111377","261.25241698761045","256.6906172016337","2.0043595213223617"
"2021-07-10","278.3188610975292","274.3924562212709","255.12702651107108","2.0136925495422004"
"2021-07-09","282.0065537511426","281.95640196096315","265.9746375545758","2.0131070011407717"
"2021-07-08","298.7619744696847","280.50927055227396","275.0735700171121","2.0188411182446417"
"2021-07-07","288.60087276158043","283.12664807881794","279.4442866468994","2.0410911557842"
"2021-07-06","294.5357140863675","287.1599007842656","277.5681231034274","2.04091731552667"
"2021-07-05","295.03563204037357","293.5253305906431","278.1657036554737","2.0407406799505328"
"2021-07-04","307.81998659359834","298.9994261340723","294.07615451820516","2.043796058138336"
"2021-07-03","313.80280259888644","281.2337763444311","277.6734764844504","2.0640626716810133"
"2021-07-02","284.195505248341","281.78926231639855","269.4532414724211","2.0428517538630233"
"2021-07-01","292.5474562303611","292.09546980841213","273.4537728659124","2.056817073123801"
"2021-06-30","311.79697239605457","309.89009052572976","277.7979162981914","2.0569600194163304"
"2021-06-29","330.4104482549946","276.1473440079813","272.89171266926974","2.054421302429296"
"2021-06-28","288.0066638621793","276.9725626851891","271.9186317500988","1.9982927086319733"
"2021-06-27","280.1199262201331","275.12801411702696","262.1672822632672","1.9979914721303027"
"2021-06-26","301.5683257488252","287.4065905097534","256.3878506726303","1.9941240382190815"
"2021-06-25","321.76222579977355","315.2156051293893","281.77025069381665","2.001814721004476"
"2021-06-24","327.01239576731257","319.83536834388326","281.0801398082498","1.9957914072942762"
"2021-06-23","336.68353980216557","228.93384762663814","222.65978595690763","2.139249179098684"
"2021-06-22","273.2103715780233","233.09978767788277","201.30944038180849","1.5936606294099167"
"2021-06-21","347.7062865053314","346.75739400734324","231.8620558778351","1.5905840221894294"
"2021-06-20","389.452401926068","388.0575849988128","311.5825419019073","1.281443247440413"
"2021-06-19","407.83370897232237","396.95693765894697","385.9446070773087","1.335573968309396"
"2021-06-18","425.0415001502969","416.5652465029736","385.7150877407455","1.6160773564206943"
"2021-06-17","435.5028680332123","416.08405222146166","412.42479134791614","1.6171052620150745"
"2021-06-16","426.40014145335255","421.72978447475765","405.27266192826244","1.6237156644562363"
"2021-06-15","439.2970221393403","431.02366574073324","414.01402773990657","1.627193232762439"
"2021-06-14","448.65586734106864","414.01269738930426","392.81185560145565","1.6262065379612674"
"2021-06-13","429.0583548541272","414.2335953330589","370.3574777129502","2.5373834880669466"
"2021-06-12","448.5142978875025","434.5123442438337","399.22698846208294","2.5397879445266502"
"2021-06-11","525.6910121383474","516.0043689848105","410.0846686257912","2.5397574029455545"
"2021-06-10","563.2932089657029","557.6341993840707","510.3440419812445","2.516142445988699"
"2021-06-09","572.7075948427628","553.1675570540586","527.5118942626532","2.5084849984649074"
"2021-06-08","610.1370826037228","588.9365723736134","499.77728060133717","2.539483652299327"
"2021-06-07","681.7968373392723","657.3264802846315","576.367539952729","2.892043890275921"
"2021-06-06","685.0576525371514","680.4125303378511","654.5170503965995","3.6569267415146895"
"2021-06-05","717.9887550582723","694.2674705951614","675.093674512487","3.6524551592855383"
"2021-06-04","740.3293908199612","735.6926185159741","686.7004125990989","3.710088601835213"
"2021-06-03","756.1699255593721","693.1119823228795","683.8002352170945","3.763203382844683"
"2021-06-02","730.3916132036353","696.2221909002062","666.6717049964424","3.8272763379587595"
"2021-06-01","778.3120717111352","771.7971515741622","691.728032209103","3.8962224164926087"
"2021-05-31","788.748228460331","783.6613117398578","759.2085499322285","3.9431790422316935"
"2021-05-30","810.9369960504996","790.6924418708129","767.2414051217323","4.017693702068316"
"2021-05-29","821.2467394411492","767.590521614656","757.7885259613969","4.097719270671316"
"2021-05-28","813.9778597422858","806.1884669238055","746.7573386762961","4.185841207931227"
"2021-05-27","846.293891034376","842.8110557000379","789.5007738173954","4.266942266265905"
"2021-05-26","869.2341267688313","823.8143412106817","801.5993905550513","4.35475226936589"
"2021-05-25","917.1768249953041","885.8719684510945","751.2525292143231","4.461733659411457"
"2021-05-24","941.3306111321064","737.1485989744087","699.9914063786447","4.550550221057073"
"2021-05-23","846.9430330004802","838.267412488217","613.8467082644462","4.620141260567831"
"2021-05-22","875.1676722212975","872.3664484721444","775.9995168870728","4.688611831003759"
"2021-05-21","1050.4682868148866","1009.8365361536357","776.5601828306633","4.814919166303449"
"2021-05-20","1107.2747486445228","911.8673296354702","824.9045954539567","4.878968406973138"
"2021-05-19","1324.9967340260337","1294.3209046185252","908.510602327283","5.045256107506093"
"2021-05-18","1429.4526267812237","1309.1624106946545","1237.6494239990686","4.8541421403304925"
"2021-05-17","1462.812789313192","1437.785255536168","1232.3931201274374","5.019296960257324"
"2021-05-16","1586.38855342931","1551.5195992986728","1301.60543302348","5.120162741295192"
"2021-05-15","1710.698941196584","1609.8397502800042","1500.7080135555236","5.236126768258243"
"2021-05-14","1713.7869396088963","1040.531573202218","1037.8310930277137","5.401413447442289"
"2021-05-13","1152.2110707040943","1023.2499180652762","909.5003505695894","5.002019292065634"
"2021-05-12","1151.1157824807578","1008.9806067618845","920.7091206597674","5.305114464571823"
"2021-05-11","1193.2350108268995","1139.3895110016233","988.6406654581995","5.653495614058856"
"2021-05-10","1221.4541350071747","1162.225041592258","871.0128421512962","5.732244448637299"
"2021-05-09","1350.784291432181","1347.9467898233584","1027.6191055798743","6.013395968308156"
"2021-05-08","1466.5129281327595","963.8161909800118","963.8161909800118","5.049671578348245"
"2021-05-07","1214.174019741841","582.0585583144523","579.210130016858","6.163453497690609"
"2021-05-06","585.2534298453924","570.2615097077071","561.5854997492619","0"
